"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"99";"9010";1000;1;50;50;2;0,066;0,071
"100";"9901";1000;1;50;50;2;0,156;0,022
"101";"5050";1000;1;50;100;2;0,408;0,397
"102";"7525";1000;1;50;100;2;0,299;0,307
"103";"9010";1000;1;50;100;2;0,145;0,167
"104";"9901";1000;1;50;100;2;0,395;0,164
"105";"5050";1000;1;50;1;5;0,043;0,067
"106";"7525";1000;1;50;1;5;0,04;0,05
"107";"9010";1000;1;50;1;5;0,071;0,047
"108";"9901";1000;1;50;1;5;0,043;0
"109";"5050";1000;1;50;2;5;0,039;0,062
"110";"7525";1000;1;50;2;5;0,042;0,047
"111";"9010";1000;1;50;2;5;0,056;0,037
"112";"9901";1000;1;50;2;5;0,046;0
"113";"5050";1000;1;50;3;5;0,046;0,042
"114";"7525";1000;1;50;3;5;0,044;0,05
"115";"9010";1000;1;50;3;5;0,05;0,053
"116";"9901";1000;1;50;3;5;0,043;0,001
"117";"5050";1000;1;50;4;5;0,054;0,035
"118";"7525";1000;1;50;4;5;0,046;0,042
"119";"9010";1000;1;50;4;5;0,059;0,044
"120";"9901";1000;1;50;4;5;0,058;0
"121";"5050";1000;1;50;5;5;0,044;0,049
"122";"7525";1000;1;50;5;5;0,059;0,049
"123";"9010";1000;1;50;5;5;0,06;0,043
"124";"9901";1000;1;50;5;5;0,05;0
"125";"5050";1000;1;50;6,00000000000001;5;0,054;0,043
"126";"7525";1000;1;50;6,00000000000001;5;0,05;0,049
"127";"9010";1000;1;50;6,00000000000001;5;0,046;0,038
"128";"9901";1000;1;50;6,00000000000001;5;0,06;0
"129";"5050";1000;1;50;7,00000000000001;5;0,042;0,062
"130";"7525";1000;1;50;7,00000000000001;5;0,052;0,057
"131";"9010";1000;1;50;7,00000000000001;5;0,058;0,051
"132";"9901";1000;1;50;7,00000000000001;5;0,042;0
"133";"5050";1000;1;50;8,00000000000001;5;0,055;0,046
"134";"7525";1000;1;50;8,00000000000001;5;0,041;0,048
"135";"9010";1000;1;50;8,00000000000001;5;0,052;0,047
"136";"9901";1000;1;50;8,00000000000001;5;0,037;0
"137";"5050";1000;1;50;9,00000000000001;5;0,047;0,046
"138";"7525";1000;1;50;9,00000000000001;5;0,047;0,037
"139";"9010";1000;1;50;9,00000000000001;5;0,059;0,054
"140";"9901";1000;1;50;9,00000000000001;5;0,046;0,001
"141";"5050";1000;1;50;10;5;0,055;0,053
"142";"7525";1000;1;50;10;5;0,051;0,059
"143";"9010";1000;1;50;10;5;0,046;0,05
"144";"9901";1000;1;50;10;5;0,051;0,001
"145";"5050";1000;1;50;20;5;0,047;0,047
"146";"7525";1000;1;50;20;5;0,045;0,058
"147";"9010";1000;1;50;20;5;0,069;0,047
"148";"9901";1000;1;50;20;5;0,049;0
"149";"5050";1000;1;50;50;5;0,061;0,064
"150";"7525";1000;1;50;50;5;0,055;0,056
"151";"9010";1000;1;50;50;5;0,057;0,053
"152";"9901";1000;1;50;50;5;0,077;0,002
"153";"5050";1000;1;50;100;5;0,096;0,096
"154";"7525";1000;1;50;100;5;0,084;0,08
"155";"9010";1000;1;50;100;5;0,064;0,083
"156";"9901";1000;1;50;100;5;0,192;0,006
"157";"5050";1000;1;50;1;10;0,05;0,039
"158";"7525";1000;1;50;1;10;0,053;0,052
"159";"9010";1000;1;50;1;10;0,062;0,05
"160";"9901";1000;1;50;1;10;0,049;0,001
"161";"5050";1000;1;50;2;10;0,051;0,061
"162";"7525";1000;1;50;2;10;0,06;0,043
"163";"9010";1000;1;50;2;10;0,065;0,041
"164";"9901";1000;1;50;2;10;0,049;0
"165";"5050";1000;1;50;3;10;0,039;0,046
"166";"7525";1000;1;50;3;10;0,062;0,048
"167";"9010";1000;1;50;3;10;0,065;0,051
"168";"9901";1000;1;50;3;10;0,063;0
"169";"5050";1000;1;50;4;10;0,053;0,048
"170";"7525";1000;1;50;4;10;0,049;0,04
"171";"9010";1000;1;50;4;10;0,055;0,043
"172";"9901";1000;1;50;4;10;0,049;0
"173";"5050";1000;1;50;5;10;0,051;0,049
"174";"7525";1000;1;50;5;10;0,056;0,046
"175";"9010";1000;1;50;5;10;0,05;0,043
"176";"9901";1000;1;50;5;10;0,041;0
"177";"5050";1000;1;50;6,00000000000001;10;0,042;0,058
"178";"7525";1000;1;50;6,00000000000001;10;0,049;0,045
"179";"9010";1000;1;50;6,00000000000001;10;0,053;0,057
"180";"9901";1000;1;50;6,00000000000001;10;0,049;0
"181";"5050";1000;1;50;7,00000000000001;10;0,047;0,06
"182";"7525";1000;1;50;7,00000000000001;10;0,05;0,048
"183";"9010";1000;1;50;7,00000000000001;10;0,055;0,046
"184";"9901";1000;1;50;7,00000000000001;10;0,05;0
"185";"5050";1000;1;50;8,00000000000001;10;0,05;0,062
"186";"7525";1000;1;50;8,00000000000001;10;0,061;0,052
"187";"9010";1000;1;50;8,00000000000001;10;0,056;0,051
"188";"9901";1000;1;50;8,00000000000001;10;0,038;0
"189";"5050";1000;1;50;9,00000000000001;10;0,053;0,052
